title,abstract
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1a, R1b, R2a, R2b, R3a, R3b, R4a, R4b, R5, R6, R7, R8, R9, L1, L2, G1, G2, G3, a, b, c and d are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
LIPIDS AND LIPID NANOPARTICLE FORMULATIONS FOR DELIVERY OF NUCLEIC ACIDS,"Compounds are provided having the following structure (I) or (II): or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R, R1, R2, L, X, L, G1, G2, Z, a1, a2 and n are independently as defined herein for each of structures (I) and (II). Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1a, R1b, R2a, R2b, R3a, R3b, R4a, R4b, R5, R6, R7, R8, R9, L1, L2, a, b, c, d and e are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1a, R1b, R2a, R2b, R3a, R3b, R4a, R4b, R5, R6, R7, R8, R9, L1, L2, a, b, c, d and e are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1a, R1b, R2a, R2b, R3a, R3b, R4a, R4b, R5, R6, R7, R8, R9, L1, L2, a, b, c, d and e are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1, R2, R3, L1, L2, G1, G2 and G3 are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1a, R1b, R2a, R2b, R3a, R3b, R4a, R4b, R5, R6, R7, R8, R9, L1, L2, a, b, c, d and e are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
METHODS AND COMPOSITIONS FOR DELIVERY OF NUCLEIC ACIDS,"A lipid particle can include a plurality of cationic lipids, such as a first cationic lipid and a second cationic lipid. The first cationic lipid can be selected on the basis of a first property and the second cationic can be selected on the basis of a second property. The first and second properties are complementary. The attributes of the lipid particle can reflect the selected properties of the cationic lipids, and the complementary nature of those properties."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1, R2, R3, L1, L2, G1, G2 and G3 are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids for delivery of active agents,"Compounds are provided having the following structure: Formula (I) or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R, R1, R2, G1, G2 and n are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids for lipid nanoparticle delivery of active agents,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer, or stereoisomer thereof, wherein R1, R2, R3, R4, R5, L1, L2, L3, G1, G2, and G3 are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids for use in lipid nanoparticle formulations,"Compounds are provided having the following structure (I) or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein X, Y, L1, L2, L3, G1, G2 and G3 are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
Lipids for use in lipid nanoparticle formulations,"Compounds are provided having the following structure (I) or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein G1, G1′, G2, G2′, G3, L1, L1′, L2, L2′, X, X′, Y and Y′ are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
LIPID NANOPARTICLE MRNA VACCINES,"The invention relates to mRNA comprising lipid nanoparticles and their medical uses. The lipid nanoparticles of the present invention comprise a cationic lipid according to formula (I), (II) or (III) and/or a PEG lipid according to formula (IV), as well as an mRNA compound comprising an mRNA sequence encoding an antigenic peptide or protein. The invention further relates to the use of said lipid nanoparticles as vaccines or medicaments, in particular with respect to influenza or rabies vaccination."
Lipids and lipid nanoparticle formulations for delivery of nucleic acids,"Compounds are provided having the following structure: or a pharmaceutically acceptable salt, tautomer or stereoisomer thereof, wherein R1a, R1b, R2a, R2b, R3a, R3b, R4a, R4b, R5, R6, R7, R8, R9, L1, L2, G1, G2, G3, a, b, c and d are as defined herein. Use of the compounds as a component of lipid nanoparticle formulations for delivery of a therapeutic agent, compositions comprising the compounds and methods for their use and preparation are also provided."
METHODS OF SUPPRESSING PATHOGENIC MUTATIONS USING PROGRAMMABLE BASE EDITOR SYSTEMS,Provided herein are compositions and methods of using base editors comprising a polynucleotide programmable nucleotide binding domain and a nucleobase editing domain in conjunction with a guide polynucleotide. Also provided herein are base editor systems for editing nucleobases of target nucleotide sequences.
NUCLEOBASE EDITORS HAVING REDUCED NON-TARGET DEAMINATION AND ASSAYS FOR CHARACTERIZING NUCLEOBASE EDITORS,"The invention features base editors having reduced non-target deamination, methods of using the base editors, and assays for characterizing base editors as having decreased non-target deamination, e.g. compared to programmed, on-target deamination."
Adenosine deaminase base editors and methods of using same to modify a nucleobase in a target sequence,"The disclosure provides compositions comprising novel adenosine base editors (e.g., ABE8) that have increased efficiency and methods of using these adenosine deaminase variants for editing a target sequence."
Compositions and Methods for Improving Base Editing,"The invention features compositions and methods for modifying a polynucleotide (e.g., DNA) using a nucleobase editor comprising a first DNA binding protein domain that is catalytically inactive, a domain having base editing activity, and a second CDNA binding protein domain having nickase activity. The invention also features a fusion protein comprising a domain having base editing activity (e.g., cytidine deaminase or adenosine deaminase), and two nucleic acid programmable DNA binding protein domains (napDNAp), a first napDNAbp comprising nickase activity and a second napDNAbp that is catalytically inactive, where at least the two napDNAbps are joined by a linker, as well as related methods for using such base editors, and kits comprising the base editors."
SYSTEMS AND METHODS FOR IMPLEMENTED MIXED REALITY IN LABORATORY AUTOMATION,"Systems and methods for providing instructing mixed reality overlays for configuring automation protocols in laboratory processes using computing systems include receiving an image from an image feed of an environment. Component markers in the image of the environment are detected and matched with an associated environment component, an environment component action or both. The environment component or environment component action, or both are selected and an animation of an instruction is rendered. An overlay of the animation is caused to display in an augmented reality device associated with a user to appear in a location in the environment of the environment component or environment component action, or both."
METHODS OF EDITING SINGLE NUCLEOTIDE POLYMORPHISM USING PROGRAMMABLE BASE EDITOR SYSTEMS,The invention features compositions and methods for altering mutations associated with Rett Syndrome (RTT). Provided herein are compositions and methods of using base editors comprising a polynucleotide programmable nucleotide binding domain and a nucleobase editing domain in conjunction with a guide polynucleotide. Also provided herein are base editor systems for editing nucleobases of target nucleotide sequences.
Compositions and methods for treating hemoglobinopathies,"The present invention features compositions and methods for editing deleterious mutations associated with hemoglobinopathies, such as sickle cell disease (SCD). In particular embodiments, the invention provides methods for correcting mutations in a beta globin polynucleotide using modified adenosine base editors termed “ABE8” having unprecedented levels (e.g., >60-70%) of efficiency."
COMPOSITIONS AND METHODS FOR TREATING GLYCOGEN STORAGE DISEASE TYPE 1A,"The invention provides compositions comprising novel adenosine base editors (e.g., ABE8) that have increased efficiency and methods of using base editors comprising adenosine deaminase variants for altering mutations associated with Glycogen Storage Disease Type 1a (GSD1a)."
"SPLICE ACCEPTOR SITE DISRUPTION OF A DISEASE-ASSOCIATED GENE USING ADENOSINE DEAMINASE BASE EDITORS, INCLUDING FOR THE TREATMENT OF GENETIC DISEASE","The invention features compositions and methods for treating, reducing, or ameliorating the debilitating effects of Amyotrophic Lateral Sclerosis (ALS) and spinal and bulbar muscular atrophy (SBMA). Provided herein are compositions and methods of using improved new base editors (e.g., adenosine base editors) comprising a polynucleotide programmable nucleotide binding domain and a nucleobase editing domain in conjunction with a guide polynucleotide to disrupt normal transcription of a gene associated with a genetic disease or condition, e.g. ALS, or SBMA by modifying a target gene associated with the genetic disorder or condition with a base editor system provided herein."
EXPRESSION OF BIOLOGICALLY ACTIVE PROTEINS IN A BACTERIAL CELL-FREE SYNTHESIS SYSTEM USING BACTERIAL CELLS TRANSFORMED TO EXHIBIT ELEVATED LEVELS OF CHAPERONE EXPRESSION,"The present disclosure describes methods and systems for improving the expression of a properly folded, biologically active protein of interest in a cell free synthesis system. The methods and systems use a bacterial cell free extract having an active oxidative phosphorylation system, and include an exogenous protein chaperone. The exogenous protein chaperone can be expressed by the bacteria used to prepare the cell free extract. The exogenous protein chaperone can be a protein disulfide isomerase and/or a peptidyl-prolyl cis-trans isomerase. The inventors discovered that the combination of a protein disulfide isomerase and a peptidyl-prolyl cis-trans isomerase produces a synergistic increase in the amount of properly folded, biologically active protein of interest."
Method for enhancing recombinant protein production by cell-free protein expression system,"The present invention provides a method for monitoring of profile changes of components in a dynamic system such as a cell-free in vitro protein synthesis system by using liquid chromatography (LC) combined with mass spectrometry (MS). In an additional aspect, this invention provides a method for enhancing the yield and/or reproducibility in a cell-free protein synthesis system by modulating the level and/or activity of a protein component that has regulatory effects on the system."
USES OF ADENOSINE BASE EDITORS,"The disclosure provides methods and compositions for treating blood diseases/disorders, such as sickle cell disease, hemochromatosis, hemophilia, and beta-thalassemia. For example the disclosure provides therapeutic guide RNAs that target the promotor of HBG1/2 to generate point mutations that increase expression of fetal hemoglobin. As another example, the disclosure provides therapeutic guide RNAs that target mutations in HBB, Factor VIII, and HFE to treat sickle cell disease, beta-thalassemia, hemophilia and hemochromatosis. The disclosure also provides fusion proteins comprising a Cas9 (e.g., a Cas9 nickase) domain and adenosine deaminases that deaminate adenosine in DNA. In some embodiments, the fusion proteins are in complex with nucleic acids, such as guide RNAs (gRNAs), which target the fusion proteins to a DNA sequence (e.g., an HBG1 or HBG2 protmoter sequence, or an HFE, GBB, or F8 gene sequence). Such complexes may be useful for increasing expression of fetal hemoglobin or correcting a poing mutation (e.g., C282Y) in HFE."
Compositions and Methods for Delivering a Nucleobase Editing System,"The invention provides compositions and methods for delivering first and second polynucleotides each encoding a fragment of an A-to-G Base Editor fusion protein comprising one or more deaminases (e.g., adenosine deaminases) and nCas9, wherein the first polynucleotide encodes an N-terminal fragment of nCas9 fused to an intein-N of a split intein pair and the second polynucleotide encodes a C-terminal fragment of nCas9 fused to an intein-C of a split intein pair, and methods for delivering these fragments together with an sgRNA to a cell (e.g., AAV delivery), where the fragments are spliced together by a split intein system, thereby reconstituting a functional base editing system in the cell."
