title,abstract
"Pyrazoline dihydroquinolones, pharmaceutical compositions, and uses","This disclosure relates to pyrazoline dihydroquinolone derivatives, pharmaceutical compositions, and uses. In certain embodiments, the compounds are selective NMDA receptor inhibitors and are useful in therapeutic methods related thereto. In certain embodiments, this disclosure relates to pharmaceutical compositions comprising a compound of the following formula: or salts, esters, or prodrugs thereof, as provided herein."
Polyamine compounds targeting the efflux pumps of multi-drug resistant bacterial pathogens and methods of using the same,"Disclosed herein are efflux pump inhibitors and pharmaceutical compositions comprising the same. The efflux pump inhibitors may be used in methods of preventing antibiotic resistance in a subject, and in methods of treating a bacterial infection in a subject. The efflux pump inhibitor may be co-administered with an antibiotic."
Processes using nucleoside triphosphates with stable aminoxy groups,"This invention claims processes that append a single nucleotide having a 3′-ONH2 moiety to the 3′-ends of an oligonucleotide primer using 3′-deoxynucleoside triphosphates that have, instead of a 3′-OH moiety, a 3′-ONH2 moiety, where the nucleotides contain both standard and non-standard nucleobases, and where as a key claim limitation, substantially no hydroxylamine is present in the solutions used in the claimed processes."
"Mesoporous nitric oxide-releasing silica particles, methods of making, and uses thereof","Nitric oxide-releasing materials, methods of making nitric oxide-releasing materials, and uses of nitric oxide-releasing materials are provided. The nitric oxide-releasing materials include a mesoporous silica core and an outer surface having a plurality of nitric oxide donors. In an exemplary aspects, the nitric oxide-releasing material includes a mesoporous diatomaceous earth core, and an outer surface having a plurality of S-nitroso-N-acetyl-penicillamine groups covalently attached thereto. Uses of the nitric oxide-releasing materials can include coatings for medical devices such as catheters, grafts, and stents; wound gauzes; acne medications; and antiseptic mouthwashes; among others."
Faradic porosity cell,"Applicant's faradic porosity cell combines adsorption (physical and capacitive) and faradic immobilization of a target species by optimizing electrode porosity, applied E, and Pourbaix operating regions. The optimization parameters are (i) physical adsorption; (ii) capacitive adsorption; (iii) electrochemical pH modulation; (iv) electrochemical peroxide (H2O2) generation; (v) electrodeposition (e.g., electroplating, electrophoretic deposition); (vi) electrochemical oxidation or reduction; (vii) precipitation; (viii) pore mouth diameter profile, and (ix) electrode spacing, and (xi) flow-by vs. flow-through vs. carbon block cell design."
Selective recovery,"Provided herein are methods of selective screening. In addition, various targeting proteins and sequences, as well as methods of their use, are also provided."
Compositions and methods for catalysts based on bridged chiral amidoporphyrins and their metal complexes,"In one aspect, the disclosure relates to a mode of asymmetric induction in radical processes based on enhanced hydrogen-bonding capability and the situation of metal centers in cavity-like chiral environments. Also disclosed is an asymmetric system for stereoselective synthesis of cyclopropane and aziridine derivatives. The disclosed Co(II)-based metalloradical system has been shown to have an unusual capability of controlling both the degree and sense of asymmetric induction in cyclopropanation and aziridination reactions in a systematic manner. The disclosed system is applicable to a broad scope of substrates having diazo or azido moieties and exhibits a remarkable profile of reactivity and selectivity, providing access to cyclopropane diastereomers and aziridine enantiomers in highly enantioenriched forms. Also disclosed are catalysts useful in the disclosed processes. This abstract is intended as a scanning tool for purposes of searching in the particular art and is not intended to be limiting of the present disclosure."
Hydrogels with dynamically adjustable mechanical properties,"A composition includes a dual crosslinkable hydrogel that includes a plurality of polymer macromers, which are crosslinked with a first agent and a second agent different than the first agent, wherein the crosslinks formed using the second agent are reversible and repeatable to allow the mechanical properties of the hydrogel to be dynamically adjusted."
"High density epidural stimulation for facilitation of locomotion, posture, voluntary movement, and recovery of autonomic, sexual, vasomotor, and cognitive function after neurological injury",Methods comprising applying electrical stimulation to patients in conjunction with physical training are described.
Antibody-drug conjugates and uses thereof,"The present invention relates to therapeutic immunoconjugates comprising SN-38 attached to an antibody or antigen-binding antibody fragment. The antibody may bind to Trop-2 or CEACAM5 and the immunoconjugate may be administered at a dosage of between 4 mg/kg and 16 mg/kg, preferably 4, 6, 8, 9, 10, 12, or 16 mg/kg. When administered at specified dosages and schedules, the immunoconjugate can reduce solid tumors in size, reduce or eliminate metastases and is effective to treat cancers resistant to standard therapies, such as radiation therapy, chemotherapy or immunotherapy. Surprisingly, the immunoconjugate is effective to treat cancers that are refractory to or relapsed from irinotecan."
Chemical reprogramming of human glial cells into neurons for brain and spinal cord repair,"Provided are methods and compositions from reprogramming human glial cells into human neurons. The reprogramming is achieved using combinations of compounds that can modify signaling via Transforming growth factor beta (TGF-β), Bone morphogenetic protein (BMP), glycogen synthase kinase 3 (GSK-3), and γ-secretase/Notch pathways. The reprogramming is demonstrated using groups of three or four compounds that are chosen from the group thiazovivin, LDN193189, SB431542, TTNPB, CHIR99021, DAPT, VPA, SAG purmorphamine. Reprogramming is demonstrated using the group of LDN193189/CHIR99021/DAPT, the group of B431542/CHIR99021/DAPT, the group of LDN193189/DAPT/SB431542, the group of LDN193189/CHIR99021/SB431542, a three drug combination of SB431542/CHIR99021/DAPT. Reprogramming using functional analogs of the compounds is also provided, as are pharmaceutical formulations that contain the drug combinations."
Therapeutic vitamin d conjugates,The invention provides a parathyroid hormone (PTH) compound comprising a PTH peptide. The PTH compound has a significantly increased bioavailability or circulating half-life when compared to a bioavailability or a circulating half-life of a native form of the PTH peptide. The PTH compound has a significantly greater serum concentration at multiple timepoints post-administration to a rat when compared to that of a native PTH peptide.
Methods and compositions of inhibiting DCN1-UBC12 interaction,"In one aspect, the invention relates to substituted 1-phenyl-3-(piperidin-4-yl)urea analogs, derivatives thereof, and related compounds, which are useful as inhibitors of the DCN1-UBC12 interaction inhibitors of DCN1-mediated cullin-RING ligase activity, methods of making same, pharmaceutical compositions comprising same, methods of treating disorders using the disclosed compounds and compositions, methods of treating disorders associated with a DCN1-UBC12 interaction dysfunction, methods of treating disorders associated with a DCN1-mediated cullin-RING ligase activity dysfunction, methods of male contraception comprising the disclosed compounds and compositions, and kits comprising the disclosed compounds and compositions. This abstract is intended as a scanning tool for purposes of searching in the particular art and is not intended to be limiting of the present invention."
Adaptive analog-to-digital converter for pulsed signals based on multi-bit sigma-delta modulation,"A delta sigma modulator includes a summation circuit, at least one integrator, a multi-bit quantizer and a negative feedback circuit. The summation circuit is configured to produce a difference signal between an analog input signal and an analog feedback signal. The integrator is operatively coupled to the summation circuit to integrate the difference signal. The multi-bit quantizer is operatively coupled to the integrator to digitize the integrated signal to generate an N-bit digital output signal, N being an integer greater than 1. The negative feedback circuit operatively couples the multi-bit quantizer to the summation circuit. The negative feedback circuit includes a digital-to-analog converter arrangement for receiving the N-bit digital output signal and providing the analog feedback signal such that digital values of the N-bit digital output signal and values of the analog feedback encoded by the digital values have a non-linear relationship to one another."
Drug delivery systems containing oxidized cholesterols,"Lipid nanoparticles and compositions thereof are disclosed herein. An exemplary nanoparticle composition includes an ionizable lipid, a phospholipid, a PEG-lipid, and a cholesterol modified with a hydroxyl group near the D-sterol ring. The disclosed nanoparticle compositions can target liver Kupffer cells and endothelial cells more preferentially than hepatocytes which should be beneficial in treating liver diseases in which dysfunctional Kupffer cells and endothelial cells are involved in disease pathogenesis."
Molecular genetic approach to treatment and diagnosis of alcohol and drug dependence,"Compositions and methods are provided that are useful for diagnosing, treating, and monitoring alcohol dependence and disorders, susceptibility to alcohol dependence disorders, as well as drug related dependence and disorders. The methods include treating patients with an antagonist of the serotonin receptor 5-HT3 for such disorders, wherein the patient's serotonin transporter gene SLC6A4 is known to have particular genotypes."
DNA methyltransferase 1 transition state structure and uses thereof,Methods and systems for obtaining inhibitors of human DNA methyltransferase 1 (DNMT1) are disclosed where the methods involve designing compounds that resemble the DNMT1 transition state.
Apparatus and methods for mirror tunnel imaging device and for providing pseudobessel beams in a miniaturized optical system for imaging,"Exemplary apparatus and method are provided for illuminating a sample. With such exemplary apparatus and/or method, it is possible to, using at least one source arrangement, provide at least one first electro-magnetic radiation. Using an optical system of an optics arrangement, it is possible to receive the first electro-magnetic radiation(s), and modifying the at least one first electro-magnetic radiation to be at least one second electro-magnetic radiation so as to be forwarded to the sample. Further, with the optical system, it is possible to extend the at least one second electro-magnetic radiation into or across the sample for a distance of at least 2 times the Raleigh range of a Gaussian beam when the optics arrangement and the sample are stationary with respect to one another. Additionally, using the optical system, it is possible to control a placement of a focus of the at least one second electro-magnetic radiation on or in the sample."
Genome engineering methods using a cytosine-specific Cas9,"Described herein are methods and compositions for rapid and precise genome editing at any desired genomic position in almost all cells and organisms. The methods utilize a cytosine-specific Cas9 endonuclease and are suitable for applications requiring targeting cytosine adjacent DNA. The methods generally include introducing a cytosine-specific Cas9 endonuclease, a single guide RNA, and optionally a DNA repair template that is utilized in either non-homologous end joining or homology directed repair. The methods can be used to effect gene knockout, gene knockdown, gene substitution, or gene introduction in cells and organisms."
Compositions and methods for analyte detection,Methods of making a three-dimensional matrix of nucleic acids within a cell is provided.
IL-7R-alpha specific antibodies for treating acute lymphoblastic leukemia,"Antibodies and antigen binding fragments that specifically bind to IL-7Rα are disclosed. Nucleic acids encoding the antibodies and antigen binding fragments, and vectors including the nucleic acid molecules are also provided. Methods for detecting a ca cancer or a cell that expresses IL-7Rα using the antibodies and antigen binding fragments are disclosed, as is the use of the antibodies and antigen binding fragments to prevent and/or treat a subject with a cancer that expresses IL-7Rα, such as acute lymphoblastic leukemia."
Use of a small native peptide activator of SERCA pump for treatment of heart failure and other disorders characterized by cytosolic calcium overload,"The present disclosure describes a new native peptide designated herein as Dwarf Open Reading Frame, or DWORF. This peptide enhances the apparent activity of the SERCA pump, is positively inotropic and lusitropic, and therefore is provided as a therapeutic agent for disorders characterized by cytosolic calcium overload."
Inhibitor of apoptosis protein (IAP) antagonists,"Provided herein are compounds that modulate the activity of inhibitor of apoptosis proteins (IAPs), compositions comprising the compounds, and methods of using the compounds and compositions comprising the compounds."
