normalized_title_data,normalized_abstract_data,labels
"pyrazoline dihydroquinolones, pharmaceutical compositions, and uses","this disclosure relates to pyrazoline dihydroquinolone derivatives, pharmaceutical compositions, and uses. in certain embodiments, the compounds are selective nmda receptor inhibitors and are useful in therapeutic methods related thereto. in certain embodiments, this disclosure relates to pharmaceutical compositions comprising a compound of the following formula: or salts, esters, or prodrugs thereof, as provided herein.",1
polyamine compounds targeting the efflux pumps of multi-drug resistant bacterial pathogens and methods of using the same,"disclosed herein are efflux pump inhibitors and pharmaceutical compositions comprising the same. the efflux pump inhibitors may be used in methods of preventing antibiotic resistance in a subject, and in methods of treating a bacterial infection in a subject. the efflux pump inhibitor may be co-administered with an antibiotic.",1
processes using nucleoside triphosphates with stable aminoxy groups,"this invention claims processes that append a single nucleotide having a 3′-onh2 moiety to the 3′-ends of an oligonucleotide primer using 3′-deoxynucleoside triphosphates that have, instead of a 3′-oh moiety, a 3′-onh2 moiety, where the nucleotides contain both standard and non-standard nucleobases, and where as a key claim limitation, substantially no hydroxylamine is present in the solutions used in the claimed processes.",1
"mesoporous nitric oxide-releasing silica particles, methods of making, and uses thereof","nitric oxide-releasing materials, methods of making nitric oxide-releasing materials, and uses of nitric oxide-releasing materials are provided. the nitric oxide-releasing materials include a mesoporous silica core and an outer surface having a plurality of nitric oxide donors. in an exemplary aspects, the nitric oxide-releasing material includes a mesoporous diatomaceous earth core, and an outer surface having a plurality of s-nitroso-n-acetyl-penicillamine groups covalently attached thereto. uses of the nitric oxide-releasing materials can include coatings for medical devices such as catheters, grafts, and stents; wound gauzes; acne medications; and antiseptic mouthwashes; among others.",1
faradic porosity cell,"applicant's faradic porosity cell combines adsorption (physical and capacitive) and faradic immobilization of a target species by optimizing electrode porosity, applied e, and pourbaix operating regions. the optimization parameters are (i) physical adsorption; (ii) capacitive adsorption; (iii) electrochemical ph modulation; (iv) electrochemical peroxide (h2o2) generation; (v) electrodeposition (e.g., electroplating, electrophoretic deposition); (vi) electrochemical oxidation or reduction; (vii) precipitation; (viii) pore mouth diameter profile, and (ix) electrode spacing, and (xi) flow-by vs. flow-through vs. carbon block cell design.",1
selective recovery,"provided herein are methods of selective screening. in addition, various targeting proteins and sequences, as well as methods of their use, are also provided.",1
compositions and methods for catalysts based on bridged chiral amidoporphyrins and their metal complexes,"in one aspect, the disclosure relates to a mode of asymmetric induction in radical processes based on enhanced hydrogen-bonding capability and the situation of metal centers in cavity-like chiral environments. also disclosed is an asymmetric system for stereoselective synthesis of cyclopropane and aziridine derivatives. the disclosed co(ii)-based metalloradical system has been shown to have an unusual capability of controlling both the degree and sense of asymmetric induction in cyclopropanation and aziridination reactions in a systematic manner. the disclosed system is applicable to a broad scope of substrates having diazo or azido moieties and exhibits a remarkable profile of reactivity and selectivity, providing access to cyclopropane diastereomers and aziridine enantiomers in highly enantioenriched forms. also disclosed are catalysts useful in the disclosed processes. this abstract is intended as a scanning tool for purposes of searching in the particular art and is not intended to be limiting of the present disclosure.",1
hydrogels with dynamically adjustable mechanical properties,"a composition includes a dual crosslinkable hydrogel that includes a plurality of polymer macromers, which are crosslinked with a first agent and a second agent different than the first agent, wherein the crosslinks formed using the second agent are reversible and repeatable to allow the mechanical properties of the hydrogel to be dynamically adjusted.",1
"high density epidural stimulation for facilitation of locomotion, posture, voluntary movement, and recovery of autonomic, sexual, vasomotor, and cognitive function after neurological injury",methods comprising applying electrical stimulation to patients in conjunction with physical training are described.,1
antibody-drug conjugates and uses thereof,"the present invention relates to therapeutic immunoconjugates comprising sn-38 attached to an antibody or antigen-binding antibody fragment. the antibody may bind to trop-2 or ceacam5 and the immunoconjugate may be administered at a dosage of between 4 mg/kg and 16 mg/kg, preferably 4, 6, 8, 9, 10, 12, or 16 mg/kg. when administered at specified dosages and schedules, the immunoconjugate can reduce solid tumors in size, reduce or eliminate metastases and is effective to treat cancers resistant to standard therapies, such as radiation therapy, chemotherapy or immunotherapy. surprisingly, the immunoconjugate is effective to treat cancers that are refractory to or relapsed from irinotecan.",1
